year,round,circuit_enc,driver_enc,team_enc,nation_enc,grid,quali_position,driver_pts_before,driver_standing_before,team_pts_before,team_standing_before,pit_stop_count,driver_form,is_dnf,laps,points,positionOrder
2020,16,31,0,37,7,17,18.0,0.0,22.0,0.0,10.0,3.0,17.0,0,87,0.0,16
2005,1,2,1,24,13,17,17.0,0.0,20.0,0.0,9.0,0.0,17.0,1,16,0.0,20
2005,2,23,1,24,13,19,20.0,0.0,17.0,0.0,9.0,0.0,20.0,1,52,0.0,13
2005,3,5,1,24,13,18,19.0,0.0,19.0,0.0,9.0,0.0,16.5,1,53,0.0,13
2005,4,32,1,24,13,20,20.0,0.0,21.0,0.0,9.0,0.0,15.333333333333334,1,20,0.0,14
2005,5,35,1,24,13,14,15.0,0.0,21.0,0.0,9.0,0.0,13.333333333333334,1,19,0.0,16
2005,6,27,1,24,13,14,14.0,0.0,21.0,0.0,9.0,0.0,14.333333333333334,1,73,0.0,14
2005,7,14,1,24,13,20,20.0,0.0,23.0,0.0,10.0,0.0,14.666666666666666,1,57,0.0,17
2005,8,9,1,24,13,15,15.0,0.0,21.0,0.0,10.0,0.0,15.666666666666666,1,67,0.0,11
2005,9,40,1,24,13,18,18.0,4.0,17.0,7.0,9.0,0.0,14.0,1,71,4.0,5
2005,10,15,1,24,13,20,20.0,4.0,18.0,7.0,9.0,0.0,11.0,1,37,0.0,17
2005,11,8,1,24,13,18,18.0,4.0,18.0,7.0,10.0,0.0,11.0,1,57,0.0,18
2005,12,16,1,24,13,16,16.0,4.0,18.0,7.0,10.0,0.0,13.333333333333334,1,65,0.0,13
2005,13,17,1,24,13,17,17.0,4.0,18.0,7.0,10.0,0.0,16.0,1,59,0.0,15
2005,14,38,1,24,13,15,16.0,4.0,19.0,7.0,10.0,0.0,15.333333333333334,1,48,0.0,16
2005,15,19,1,24,13,20,20.0,4.0,19.0,7.0,10.0,0.0,14.666666666666666,1,51,0.0,19
2005,16,6,1,24,13,18,18.0,4.0,19.0,7.0,10.0,0.0,16.666666666666668,1,42,0.0,12
2005,17,7,1,24,13,16,18.0,4.0,19.0,7.0,10.0,0.0,15.666666666666666,1,69,0.0,14
2005,18,20,1,24,13,13,13.0,4.0,19.0,7.0,10.0,0.0,15.0,1,49,0.0,16
2005,19,10,1,24,13,18,18.0,4.0,19.0,7.0,10.0,0.0,14.0,1,50,0.0,16
2006,1,5,1,19,13,18,18.0,0.0,0.0,0.0,10.0,0.0,15.333333333333334,1,0,0.0,22
2006,2,23,1,19,13,15,19.0,0.0,17.0,0.0,10.0,0.0,18.0,1,54,0.0,12
2006,3,2,1,19,13,17,18.0,0.0,19.0,0.0,10.0,0.0,16.666666666666668,1,56,0.0,11
2006,4,32,1,19,13,20,20.0,0.0,19.0,0.0,10.0,0.0,15.0,1,0,0.0,22
2006,5,14,1,19,13,16,18.0,0.0,19.0,0.0,10.0,0.0,15.0,1,59,0.0,13
2006,6,35,1,19,13,18,19.0,0.0,19.0,0.0,10.0,0.0,15.333333333333334,1,48,0.0,18
2006,7,27,1,19,13,16,16.0,0.0,19.0,0.0,10.0,0.0,17.666666666666668,1,77,0.0,12
2006,8,8,1,19,13,18,18.0,0.0,19.0,0.0,10.0,0.0,14.333333333333334,1,59,0.0,15
2006,9,9,1,19,13,19,20.0,0.0,19.0,0.0,10.0,0.0,15.0,1,0,0.0,22
2006,10,40,1,19,13,14,14.0,0.0,19.0,0.0,10.0,0.0,16.333333333333332,1,37,0.0,11
2006,11,15,1,19,13,15,16.0,0.0,20.0,0.0,10.0,0.0,16.0,1,68,0.0,15
2006,12,16,1,19,13,21,18.0,0.0,20.0,0.0,10.0,0.0,16.0,1,66,0.0,21
2006,13,17,1,19,13,22,21.0,0.0,21.0,0.0,10.0,0.0,15.666666666666666,1,67,0.0,10
2006,14,38,1,19,13,22,16.0,0.0,21.0,0.0,10.0,0.0,15.333333333333334,1,46,0.0,16
2006,15,19,1,32,13,18,18.0,0.0,22.0,0.0,12.0,0.0,15.666666666666666,1,51,0.0,17
2006,16,10,1,32,13,22,22.0,0.0,22.0,0.0,12.0,0.0,14.333333333333334,1,53,0.0,15
2006,17,20,1,32,13,16,16.0,0.0,22.0,0.0,12.0,0.0,16.0,1,20,0.0,22
2006,18,7,1,32,13,17,18.0,0.0,22.0,0.0,12.0,0.0,18.0,1,70,0.0,14
2007,1,2,1,31,13,21,22.0,0.0,0.0,0.0,10.0,0.0,17.0,1,10,0.0,22
2007,2,23,1,31,13,20,21.0,0.0,0.0,0.0,10.0,0.0,19.333333333333332,1,7,0.0,21
2007,3,5,1,31,13,22,22.0,0.0,18.0,0.0,10.0,0.0,19.0,1,55,0.0,14
2007,4,35,1,31,13,21,21.0,0.0,20.0,0.0,9.0,0.0,19.0,1,63,0.0,14
2007,5,27,1,31,13,22,22.0,0.0,21.0,0.0,10.0,0.0,16.333333333333332,1,70,0.0,19
2007,6,9,1,31,13,21,21.0,0.0,21.0,0.0,10.0,0.0,15.666666666666666,1,47,0.0,15
2007,7,40,1,31,13,22,22.0,0.0,22.0,0.0,10.0,0.0,16.0,1,70,0.0,15
2007,8,15,1,31,13,20,20.0,0.0,22.0,0.0,10.0,0.0,16.333333333333332,1,28,0.0,19
2007,9,8,1,31,13,22,22.0,0.0,22.0,0.0,10.0,0.0,16.333333333333332,1,57,0.0,15
2019,1,2,1,34,33,13,13.0,0.0,14.0,1.0,8.0,1.0,16.333333333333332,1,57,0.0,14
2019,2,5,1,34,33,12,12.0,2.0,11.0,3.0,8.0,2.0,16.0,0,57,2.0,9
2019,3,10,1,34,33,0,0.0,3.0,13.0,4.0,9.0,1.0,12.666666666666666,1,55,1.0,10
2019,4,4,1,34,33,11,12.0,3.0,15.0,4.0,9.0,1.0,11.0,1,50,0.0,11
2019,5,35,1,34,33,11,12.0,3.0,15.0,6.0,9.0,2.0,10.0,0,66,0.0,11
2019,6,27,1,34,33,10,10.0,7.0,14.0,16.0,7.0,1.0,10.666666666666666,0,78,4.0,8
2019,7,9,1,34,33,13,14.0,7.0,15.0,17.0,7.0,1.0,10.0,1,59,0.0,19
2019,8,15,1,34,33,11,11.0,7.0,15.0,17.0,8.0,1.0,12.666666666666666,1,52,0.0,15
